CaseNo,Crime Type,Crime Category,Occurred On,Occurred Between,Block Address,Disposition,x,y
PD250044770,SIMPLE ASSAULT,Violent,12/3/2025 11:47 下午,,18000 THUNDERBOLT RD,Arrest,11826776.23,6888779.029
PD250044741,SIMPLE ASSAULT,Violent,12/3/2025 10:10 下午,,17000 OLD STAGE RD,Inactive,11818090.66,6897409.854
PD250044714,SIMPLE ASSAULT,Violent,12/3/2025 8:40 下午,,13000 PINETREE DR,Active,11833227.78,6927035.803
PD250044689,MOTOR VEHICLE THEFT,Property,12/3/2025 8:00 下午,12/3/2025 8:15 下午,3000 FOX LAIR DR,Inactive,11824868.8,6902010.034
PD250044719,THEFT FROM MOTOR VEHICLE,Property,12/3/2025 7:45 下午,12/3/2025 9:15 下午,10000 LUTE CT,Active,11761386.3,6976214.937
PD250044728,CREDIT CARD/ATM FRAUD,Property,12/3/2025 7:45 下午,12/3/2025 9:15 下午,10000 COVERSTONE DR,Active,11758895.73,6972414.501
PD250044729,CREDIT CARD/ATM FRAUD,Property,12/3/2025 7:45 下午,12/3/2025 9:15 下午,10000 LUTE CT,Active,11761386.3,6976214.937
PD250044777,AGGRAVATED ASSAULT,Violent,12/3/2025 7:00 下午,12/3/2025 11:00 下午,14000 LATTANY CT,Inactive,11732623.12,6968287.598
PD250045010,ALL OTHER LARCENY,Property,12/3/2025 7:00 下午,,1800 CLARINET CT,Inactive,11834323.74,6918523.586
PD250044632,SHOPLIFTING,Property,12/3/2025 5:16 下午,,17000 RICHMOND HWY,Exception,11823015.25,6897253.401
PD250044652,DRUG/NARCOTIC VIOLATION,Quality of Life,12/3/2025 5:00 下午,,King George Dr / Woodstock St,Inactive,11771119.58,6971647.868
PD250044562,SHOPLIFTING,Property,12/3/2025 3:35 下午,,9900 SOWDER VILLAGE SQ,Active,11758601.1,6953667.565
PD250044602,SHOPLIFTING,Property,12/3/2025 3:33 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250044523,SHOPLIFTING,Property,12/3/2025 2:15 下午,,2400 PRINCE WILLIAM PKWY,Active,11829403.63,6923662.961
PD250044493,AGGRAVATED ASSAULT,Violent,12/3/2025 2:00 下午,,14000 POTOMAC MILLS RD,Inactive,11827370.4,6918526.736
PD250044490,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/3/2025 1:30 下午,,2700 POTOMAC MILLS CIR,Active,11826041.73,6918486.143
PD250045004,WIRE FRAUD,Property,12/3/2025 1:10 下午,,8000 COMMUNITY DR,Inactive,11768351.12,6968164.152
PD250044401,SIMPLE ASSAULT,Violent,12/3/2025 11:30 上午,,1900 STEVENS RD,Arrest,11833908.03,6919354.504
PD250044400,SIMPLE ASSAULT,Violent,12/3/2025 11:20 上午,,12000 PINTAIL RD,Arrest,11825168.88,6928853.887
PD250044307,SIMPLE ASSAULT,Violent,12/3/2025 9:00 上午,,17000 WOODS VIEW DR,Active,11828158.44,6889188.731
PD250044241,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/3/2025 4:52 上午,,9300 LEE AVE,Arrest,11774274.01,6958467.993
PD250044166,DISORDERLY CONDUCT,Quality of Life,12/3/2025 1:50 上午,,14000 POTOMAC MILLS RD,Arrest,11827370.4,6918526.736
PD250044088,AGGRAVATED ASSAULT,Violent,12/2/2025 10:50 下午,,10000 CAMPAIGN CT,Arrest,11760227.39,6971144.037
PD250044557,SHOPLIFTING,Property,12/2/2025 10:38 下午,,8300 SUDLEY RD,Arrest,11767196.98,6966790.867
PD250044276,MOTOR VEHICLE THEFT,Property,12/2/2025 9:00 下午,12/3/2025 12:00 上午,14000 POTOMAC HEIGHTS PL,Inactive,11832706.23,6913967.772
PD250044344,MOTOR VEHICLE THEFT,Property,12/2/2025 8:50 下午,12/3/2025 7:12 上午,2900 SHOREHAVEN WAY,Inactive,11825045.06,6897658.139
PD250044477,SHOPLIFTING,Property,12/2/2025 8:30 下午,,10000 SUDLEY MANOR DR,Inactive,11769205.66,6972433.753
PD250044002,SIMPLE ASSAULT,Violent,12/2/2025 7:10 下午,,Richmond Hwy / River Heritage Blvd,Arrest,11823357.76,6897854.84
PD250043999,SHOPLIFTING,Property,12/2/2025 7:08 下午,,2400 PRINCE WILLIAM PKWY,Arrest,11829403.63,6923662.961
PD250043996,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,Property,12/2/2025 7:00 下午,,Heathcote Blvd / Swainley St,Exception,11733871.29,6980086.448
PD250043972,SHOPLIFTING,Property,12/2/2025 6:13 下午,,2700 POTOMAC MILLS CIR,Inactive,11826041.73,6918486.143
