ZIP Code,備註 / 城市 / 區域,Median Income,Population,Land Area (sq mi),"Population Density 
(people per square mile)","Education Level Rate
(Bachelor's degree
or higher)","Housing Median Prices
(Dollars)",Unemployment Rate,"Crime Rate
(/1,000)"
20109,Manassas / Sudley,"88,966","43,849",23.83,1840.075535,35.10%,"411,700",4.10%,65
20110,Manassas,"120,397","49,120",9.89,4966.632963,33.50%,"445,300",3%,52.7
20111,Manassas,"109,785","38,883",10.02,3880.538922,30.20%,"449,400",4.20%,45.5
20112,Manassas / Hoadly,"191,108","29,459",24.2,1217.31405,52.80%,"615,700",3.30%,17.3
20136,Bristow,"178,098","31,622",13.95,2266.810036,55.50%,"585,500",3.80%,13.6
20143,Catharpin,"178,125","1,124",26.27,42.78644842,39.50%,"1,022,700",0%,22.2
20155,Gainesville,"154,531","37,218",14.09,2641.447835,55.40%,"630,400",2.90%,22
20169,Haymarket,"198,317","28,182",12.81,2200,63.10%,"676,600",2.30%,23
20181,Nokesville,"162,986","9,765",62.56,156.0901535,45.10%,"671,400",2.50%,7.7
22025,Dumfries / Montclair,"135,957","18,470",7.17,2576.011158,55.50%,"497,700",4.90%,22.1
22026,Dumfries / Southbridge,"114,512","20,225",5.8,3487.068966,38.30%,"436,300",5.40%,22.7
22125,Occoquan,"166,250",917,0.17,5394.117647,63.80%,"485,200",1.10%,8.7
22134,Quantico,"67,965","7,357",3.09,2380.906149,53.70%,"237,500",4.90%,6.1
22172,Triangle,"113,043","10,679",7.42,1439.218329,41.40%,"509,600",9.70%,8.9
22191,Woodbridge / Leesylvania,"107,993","74,189",10.24,7245.019531,38.70%,"432,600",6.10%,29.7
22192,Woodbridge / Lake Ridge,"122,005","60,299",17.35,3475.446686,49.40%,"465,500",4.70%,23.2
22193,Woodbridge / Dale City,"119,273","83,064",16.56,5015.942029,34.90%,"427,200",4.30%,27.3
