ZIP,FinalScore,CrimeScore,IncomeScore,EduScore,HousingScore,UnempScore,DensityScore
22125,83.206349,0.955857,0.753997,1,0.315461,0.886598,0.74301
20169,77.191796,0.713073,1,0.979167,0.559221,0.762887,0.29952
20136,71.739704,0.872666,0.844889,0.752976,0.443199,0.608247,0.308796
20112,69.687043,0.809847,0.944696,0.672619,0.481661,0.659794,0.163078
20155,65.805674,0.730051,0.664094,0.75,0.500382,0.701031,0.360813
20181,65.739225,0.972835,0.728957,0.443452,0.552598,0.742268,0.015732
20143,64.237302,0.726655,0.845096,0.276786,1,1,0
22025,59.121715,0.728353,0.521603,0.752976,0.331381,0.494845,0.351728
22192,53.834753,0.709677,0.41457,0.571429,0.290372,0.515464,0.476611
22134,52.18293,1,0,0.699405,0,0.494845,0.324638
22172,47.561117,0.952462,0.345817,0.333333,0.346536,0,0.193889
22191,45.376732,0.599321,0.307076,0.252976,0.248472,0.371134,1
22026,45.255231,0.718166,0.357087,0.241071,0.253184,0.443299,0.478224
22193,44.759854,0.640068,0.393611,0.139881,0.241594,0.556701,0.690502
20110,32.664052,0.208829,0.402234,0.098214,0.264646,0.690722,0.683656
20111,30.045898,0.33107,0.320824,0,0.269868,0.56701,0.532856
20109,16.626065,0,0.16111,0.145833,0.221854,0.57732,0.249546
