CaseNo,OccurredOn,CrimeCategory,IBRCode,BlockAddress,Disposition,lon,lat
PD220015181,2025-03-20 10:00:00,Other,ALL OTHER OFFENSES,Darby Brooke Ct / Old Bridge Rd,Arrest,-77.2648497471302,38.6748347478357
PD220015881,2025-03-20 10:00:00,Other,ALL OTHER OFFENSES,Darby Brooke Ct / Old Bridge Rd,Arrest,-77.2648497471302,38.6748347478357
PD240008905,2025-01-22 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240008906,2025-02-04 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240008907,2025-02-11 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240008908,2025-02-06 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240008909,2025-02-18 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240008910,2025-01-30 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240008911,2025-02-21 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240011133,2025-01-30 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240018492,2025-05-22 04:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240022494,2025-03-05 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240038651,2025-04-25 04:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240045451,2025-01-31 00:40:00,Other,ALL OTHER OFFENSES,15000 DONALD CURTIS DR,Inactive,-77.3023772471757,38.6099518247898
PD240046777,2025-01-04 05:00:00,Other,ALL OTHER OFFENSES,3 County Complex Ct,Arrest,-77.3511757676895,38.6798115998676
PD240046782,2025-04-30 11:33:37,Other,ALL OTHER OFFENSES,18000 KILMER LN,Arrest,-77.3207761180538,38.5571144486818
PD240046883,2025-04-30 11:06:44,Other,ALL OTHER OFFENSES,18000 KILMER LN,Arrest,-77.3207761180538,38.5571144486818
PD240047638,2025-01-01 00:34:00,Property,ALL OTHER LARCENY,2300 MERSEYSIDE DR,Inactive,-77.282718510835,38.6257875672313
PD240047642,2025-01-01 02:40:00,Violent,SIMPLE ASSAULT,7400 BOUNDARY AVE,Exception,-77.4635874692462,38.7949382415836
PD240047643,2025-01-01 00:38:00,Other,ALL OTHER OFFENSES,Old Bridge Rd / Gordon Blvd,Inactive,-77.255639385502,38.675690891682
PD240047644,2025-01-01 02:42:00,Other,ALL OTHER OFFENSES,Featherstone Rd / Walnut St,Inactive,-77.2553319295261,38.6309357328105
PD240047650,2025-01-01 03:49:00,Violent,SIMPLE ASSAULT,15000 POTOMAC TOWN PL,Arrest,-77.2881182279254,38.6295446859592
PD250000001,2025-01-01 04:49:33,Quality of Life,DISORDERLY CONDUCT,13000 MAPLEDALE AVE,Arrest,-77.3693085056471,38.6586044899379
PD250000005,2025-01-01 05:00:00,Violent,SIMPLE ASSAULT,9900 DISCOVERY BLVD,Inactive,-77.5240870324458,38.7428636134513
PD250000006,2025-01-01 05:00:00,Quality of Life,DRIVING UNDER THE INFLUENCE,Dumfries Rd / Van Buren Rd,Arrest,-77.3307644606276,38.5837599867377
PD250000007,2025-01-01 03:48:00,Violent,AGGRAVATED ASSAULT,7600 CASS PL,Arrest,-77.5288796927712,38.7906713649053
PD250000008,2025-01-01 05:55:00,Other,ALL OTHER OFFENSES,Minnieville Rd / Kestral Ct,Arrest,-77.3516493976416,38.6367385576334
PD250000009,2025-01-01 04:00:00,Violent,SIMPLE ASSAULT,6100 TRIDENT LN,Arrest,-77.3867299968091,38.6682427633551
PD250000013,2025-01-01 05:00:00,Quality of Life,DRIVING UNDER THE INFLUENCE,Bull Run Rd / Yorkshire Ln,Arrest,-77.4652464226251,38.7896659985307
PD250000014,2025-01-01 05:00:00,Quality of Life,DRIVING UNDER THE INFLUENCE,Cardinal Dr / Hebden Dr,Arrest,-77.3226731678156,38.615472950255
PD250000015,2025-01-01 06:04:00,Other,ALL OTHER OFFENSES,8200 HERITAGE CROSSING CT,Inactive,-77.4933155184454,38.7766985681942
PD250000017,2025-01-01 06:53:00,Violent,SIMPLE ASSAULT,4500 GLENDALE RD,Inactive,-77.3431470473428,38.6497726226595
PD250000019,2025-01-01 05:00:00,Quality of Life,DRIVING UNDER THE INFLUENCE,Dale Blvd / Orangewood Dr,Arrest,-77.387069869679,38.6673125446753
PD250000020,2025-01-01 06:30:00,Other,ALL OTHER OFFENSES,17000 WOODS OVERLOOK DR,Inactive,-77.2704297622344,38.5659675495133
PD250000021,2025-01-01 08:09:00,Violent,SIMPLE ASSAULT,10000 CORAL BERRY DR,Arrest,-77.5001803722636,38.7284423576426
PD250000022,2025-01-01 00:00:00,Violent,SIMPLE ASSAULT,7700 ANDERSON CT,Arrest,-77.4968504666429,38.7891292327163
PD250000024,2025-01-01 08:14:00,Other,ALL OTHER OFFENSES,RICHMOND HWY / CELESTIAL DR,Inactive,-77.2966293312519,38.5984946853294
PD250000025,2025-01-01 09:38:48,Property,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,14000 RICHMOND HWY,Arrest,-77.2611327250755,38.6493744113097
PD250000026,2025-01-01 10:50:00,Violent,SIMPLE ASSAULT,5000 SOFTWOOD LN,Inactive,-77.3531836983069,38.6754107972602
PD250000027,2025-01-01 10:46:00,Other,ALL OTHER OFFENSES,2300 LONGVIEW DR,Inactive,-77.280244508758,38.6444793241188
PD250000029,2025-01-01 05:00:00,Quality of Life,DISORDERLY CONDUCT,3500 BUFFALO CT,Arrest,-77.3165428968942,38.6369935366701
PD250000031,2025-01-01 01:30:00,Other,ALL OTHER OFFENSES,15000 ALASKA RD,Inactive,-77.263267085319,38.6272815150951
PD250000032,2025-01-01 13:30:00,Property,SHOPLIFTING,4000 PRINCE WILLIAM PKWY,Arrest,-77.3307717088407,38.6657495578012
PD250000034,2025-01-01 05:01:00,Property,MOTOR VEHICLE THEFT,13000 MAPLEDALE AVE,Inactive,-77.3693085056471,38.6586044899379
PD250000040,2025-01-01 14:55:00,Property,STOLEN PROPERTY OFFENSE,2300 OPITZ BLVD,Arrest,-77.2846058662474,38.6349361708518
PD250000041,2025-01-01 09:24:00,Property,THEFT FROM MOTOR VEHICLE,11000 SOLDIERS RIDGE CIR,Inactive,-77.5306997421856,38.7901805628457
PD250000042,2025-01-01 11:41:00,Violent,SIMPLE ASSAULT,10000 LOBLOLLY TRL,Unfounded,-77.5010840126593,38.7306129694717
PD250000043,2025-01-01 13:43:00,Other,ALL OTHER OFFENSES,2700 YOSOCOMICO LN,Inactive,-77.2962437771878,38.5923984492886
PD250000046,2025-01-01 03:30:00,Property,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,5200 MANTLE CT,Inactive,-77.3661060308237,38.6537317219949
PD250000048,2025-01-01 14:25:00,Other,ALL OTHER OFFENSES,3400 ALLERTON CT,Inactive,-77.3145461277737,38.5822723650692
PD250000050,2025-01-01 15:40:00,Other,ALL OTHER OFFENSES,Occoquan Rd / Old Bridge Rd,Inactive,-77.2602262261169,38.6727914326109
PD250000052,2025-01-01 16:29:00,Quality of Life,"FAMILY OFFENSES, NONVIOLENT",14000 SPRIGGS RD,Inactive,-77.3884353156618,38.650520688226
PD250000054,2025-01-01 04:00:00,Property,THEFT FROM MOTOR VEHICLE,6800 HOLLOW GLEN CT,Inactive,-77.6143447559804,38.8105895526809
PD250000055,2025-01-01 17:10:00,Other,ALL OTHER OFFENSES,4200 DALE BLVD,Inactive,-77.3366809410314,38.6444826196162
PD250000056,2025-01-01 17:00:00,Violent,SIMPLE ASSAULT,16000 PORTERS INN DR,Inactive,-77.3048490265804,38.5843847681237
PD250000057,2025-01-01 16:15:00,Property,SHOPLIFTING,13000 WORTH AVE,Inactive,-77.2948632777005,38.6510362446012
PD250000058,2025-01-01 17:30:00,Quality of Life,DRUG/NARCOTIC VIOLATION,15000 DONALD CURTIS DR,Arrest,-77.3023772471757,38.6099518247898
PD250000059,2025-01-01 11:00:00,Property,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,4300 DALE BLVD,Inactive,-77.3380690604769,38.6468669214185
PD250000064,2025-01-01 19:12:00,Other,ALL OTHER OFFENSES,10000 SUDLEY MANOR DR,Inactive,-77.4955663882785,38.7903263815693
PD250000065,2025-01-01 18:00:00,Other,ALL OTHER OFFENSES,2500 NEABSCO COMMON PL,Inactive,-77.2907503326941,38.6251230245588
PD250000068,2025-01-01 17:46:00,Violent,SIMPLE ASSAULT,2100 POTOMAC CLUB PKWY,Exception,-77.2823699008658,38.6285536950581
PD250000069,2025-01-01 19:15:00,Property,SHOPLIFTING,2700 POTOMAC MILLS CIR,Arrest,-77.2986563801736,38.6403306297685
PD250000070,2025-01-01 19:25:00,Property,SHOPLIFTING,2700 POTOMAC MILLS CIR,Exception,-77.2986563801736,38.6403306297685
PD250000074,2025-01-01 20:00:00,Other,ALL OTHER OFFENSES,13000 ZACHARY TAYLOR CT,Inactive,-77.4060940000084,38.6626804805763
PD250000075,2025-01-01 19:15:00,Other,ALL OTHER OFFENSES,11000 NOKESVILLE RD,Returned Missing Person,-77.526585800519,38.7395484056188
PD250000076,2025-01-01 18:40:00,Property,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,11000 SOLDIERS RIDGE CIR,Inactive,-77.5306997421856,38.7901805628457
PD250000078,2025-01-01 22:48:00,Property,SHOPLIFTING,13000 WORTH AVE,Arrest,-77.2948632777005,38.6510362446012
