ZIP,Population,Incidents,CrimeRate,CrimeRateOriginal,OutsideJurisdiction,RankDerived,RankOriginal,RankShift
20109,43849.0,4203,95.85167278615248,65.0,False,2,1,-1
20110,49120.0,739,15.044788273615636,52.7,True,17,2,-15
20111,38883.0,843,21.68042589306381,45.5,True,14,3,-11
20112,29459.0,848,28.78577005329441,17.3,False,12,12,0
20136,31622.0,539,17.0450951868952,13.6,False,16,13,-3
20143,1124.0,32,28.469750889679712,22.2,False,13,9,-4
20155,37218.0,1248,33.53216185716588,22.0,False,9,11,2
20169,28182.0,601,21.325668866652475,23.0,False,15,7,-8
20181,9765.0,288,29.493087557603687,7.7,False,11,16,5
22025,18470.0,957,51.81375203031944,22.1,False,4,10,6
22026,20225.0,996,49.2459826946848,22.7,False,5,8,3
22125,917.0,30,32.71537622682661,8.7,False,10,15,5
22134,7357.0,308,41.86489058039962,6.1,True,6,17,11
22172,10679.0,421,39.4231669631988,8.9,False,8,14,6
22191,74189.0,4596,61.94988475380448,29.7,False,3,4,1
22192,60299.0,5843,96.90044611021742,23.2,False,1,6,5
22193,83064.0,3278,39.46354618125783,27.3,False,7,5,-2
