ZIP,RankBase,RankMedian,Rank5,Rank95,ShareTop5,ShareBottom5,RankSwing
22125,2,1.0,1.0,3.0,0.9993,0.0,2.0
20169,1,2.0,1.0,8.0,0.894,0.0103,7.0
20136,3,4.0,2.0,8.0,0.8056,0.0,6.0
20112,4,5.0,3.0,13.0,0.5144,0.0613,10.0
20155,5,6.0,4.0,11.0,0.4607,0.0143,7.0
20110,6,6.0,2.0,11.0,0.4558,0.0259,9.0
20181,7,9.0,6.0,15.0,0.0123,0.2934,9.0
22025,9,9.0,5.0,13.0,0.0561,0.0515,8.0
22193,12,10.0,4.0,13.0,0.1609,0.0629,9.0
22134,10,10.0,2.0,16.0,0.1867,0.2731,14.0
20143,8,11.0,3.0,17.0,0.146,0.4516,14.0
20111,11,11.0,5.0,16.0,0.1041,0.3195,11.0
22191,14,11.0,2.0,15.0,0.1989,0.403,13.0
22026,13,13.0,9.0,15.0,0.0001,0.5699,6.0
22192,16,13.0,8.0,16.0,0.0048,0.5473,8.0
22172,15,15.0,12.0,17.0,0.0,0.9369,5.0
20109,17,17.0,14.0,17.0,0.0003,0.9791,3.0
