ZIP,Population,OutsideJurisdiction,CrimeScore,IncomeScore,EducationScore,HousingScore,UnemploymentScore,DensityScore,FinalScore,Rank
20169,28182.0,False,0.9233,1.0,0.9792,0.4408,0.7629,0.2995,82.315,1
22125,917.0,False,0.7841,0.754,1.0,0.6845,0.8866,0.743,81.74400000000001,2
20136,31622.0,False,0.9756,0.8449,0.753,0.5568,0.6082,0.3088,75.964,3
20112,29459.0,False,0.8321,0.9447,0.6726,0.5183,0.6598,0.1631,70.72100000000002,4
20155,37218.0,False,0.7741,0.6641,0.75,0.4996,0.701,0.3608,67.119,5
20110,49120.0,True,1.0,0.4022,0.0982,0.7354,0.6907,0.6837,61.106,6
20181,9765.0,False,0.8235,0.729,0.4435,0.4474,0.7423,0.0157,60.209,7
20143,1124.0,False,0.836,0.8451,0.2768,0.0,1.0,0.0,57.518,8
22025,18470.0,False,0.5508,0.5216,0.753,0.6686,0.4948,0.3517,57.167,9
22134,7357.0,True,0.6723,0.0,0.6994,1.0,0.4948,0.3246,52.351000000000006,10
20111,38883.0,True,0.9189,0.3208,0.0,0.7301,0.567,0.5329,52.283000000000015,11
22193,83064.0,False,0.7017,0.3936,0.1399,0.7584,0.5567,0.6905,51.77700000000001,12
22026,20225.0,False,0.5822,0.3571,0.2411,0.7468,0.4433,0.4782,46.11300000000001,13
22191,74189.0,False,0.427,0.3071,0.253,0.7515,0.3711,1.0,45.238,14
22172,10679.0,False,0.7022,0.3458,0.3333,0.6535,0.0,0.1939,43.12200000000001,15
22192,60299.0,False,0.0,0.4146,0.5714,0.7096,0.5155,0.4766,36.736999999999995,16
20109,43849.0,False,0.0128,0.1611,0.1458,0.7781,0.5773,0.2495,22.570999999999998,17
